category,agency,description,locationType,address,borough,lat,lng,frequency
machine,environment,contractor are working creating loud noise before ordinance hours.,none,660 W MELROSE ST;CHICAGO; ILLINOIS;,none,41.94110788600045, -87.64679083599964,1
machine,environment,noise coming from air conditioner; 1 block away. csr# 14-01442493,none,3500 S SANGAMON ST;CHICAGO; ILLINOIS;,none,41.830623054000455, -87.64935841199969,2
undefined,environment,doesn't know origin of the noise; but it's coming from between sedgwick and huron. call complainant: 773 230 2003. from csr: 14-01427382,none,421 W HURON ST;CHICAGO; ILLINOIS;,none,41.89468360400048, -87.63941047099968,2
machine,environment,company leave there rear door open creating noise and fumes.,none,5300 S LAKE PARK AVE;CHICAGO; ILLINOIS;,none,41.79955928300046, -87.58779746399966,4
machine,environment,very noisy generator that is making caller's room shake and creating noise.,none,6019 N WINTHROP AVE;CHICAGO; ILLINOIS;,none,41.99144186100045, -87.65812352799969,1
machine,environment,noise coming from air conditioning unit.,none,5916 W LAKE ST;CHICAGO; ILLINOIS;,none,41.88798769400046, -87.77284009599964,21
machine,environment,contractor's are starting work early morning creating loud noise.,none,2 N STATE ST;CHICAGO; ILLINOIS;,none,41.88215022000048, -87.62783826799966,1
machine,environment,very loud high pitch noise coming from roof top device.,none,1101 S WABASH AVE;CHICAGO; ILLINOIS;,none,41.8690718360005, -87.62580317499965,1
machine,environment,caller stated they start working at 7 am in the morning rebuilding a house and put their port-o-potty on the neighbors property close to the rear. very loud heavy machinery.,none,1814 N WOLCOTT AVE;CHICAGO; ILLINOIS;,none,41.91466993200049, -87.67513696899965,1
machine,environment,facility creating loud noise and vibrations that shake the lobby of the heritage condo bldg located at 130 n garland court.,none,55 E RANDOLPH ST;CHICAGO; ILLINOIS;,none,41.884461435000446, -87.62612514099965,1
machine,environment,humming noise from a/c unit.,none,3353 S CARPENTER ST;CHICAGO; ILLINOIS;,none,41.83274154200046, -87.65218351399966,1
machine,environment,air conditioning unit at the rear of church is extremely loud.,none,5916 W LAKE ST;CHICAGO; ILLINOIS;,none,41.88798769400046, -87.77284009599964,21
machine,environment,air conditioning unit at the rear of church is extremely loud.,none,5916 W LAKE ST;CHICAGO; ILLINOIS;,none,41.88798769400046, -87.77284009599964,21
machine,environment,early morning construction work on the west side of restaurant. no complainant info but left a phone number 312 925-4342.,none,504 N WELLS ST;CHICAGO; ILLINOIS;,none,41.89097478700046, -87.63407964499964,6
machine,environment,facility have a refrigeration unit on superior side looks like a small trailer truck extremely loud noise.,none,942 W HURON ST;CHICAGO; ILLINOIS;,none,41.895047725000495, -87.65180095699964,1
machine,environment,exhaust fan causing very loud noise coming from roof top.,none,4911 N WESTERN AVE;CHICAGO; ILLINOIS;,none,41.97082177800047, -87.68893323899965,3
machine,environment,caller stated that a recently installed a/c unit which is on top of a single family story structure sandwiched in between the bulk of the two story bldg. creating loud noise.,none,2934 W DIVERSEY AVE;CHICAGO; ILLINOIS;,none,41.932108565000476, -87.70148043499967,1
machine,environment,air conditioning system on top of roof makes too much noise.,none,840 W BLACKHAWK ST;CHICAGO; ILLINOIS;,none,41.90855723800047, -87.64973353899967,12
machine,environment,air conditioning system on top of roof makes too much noise.,none,840 W BLACKHAWK ST;CHICAGO; ILLINOIS;,none,41.90855723800047, -87.64973353899967,12
machine,environment,noise coming from roof top air conditioner.,none,722 N LARAMIE AVE;CHICAGO; ILLINOIS;,none,41.8937191440005, -87.75559735099966,1
machine,environment,alley-june 24;2014 phone # 312-286-6783,none,5916 W LAKE ST;CHICAGO; ILLINOIS;,none,41.88798769400046, -87.77284009599964,21
machine,environment,the caller states that the neighbors were doing rehab at 1700 n lorel and dumped all their construction debri in her 3 block garbage cart of this location,none,1706 N LOREL AVE;CHICAGO; ILLINOIS;,none,41.91157951200046, -87.75941716499966,1
machine,environment,alley-june 24;2014 phone # 312-286-6783,none,5916 W LAKE ST;CHICAGO; ILLINOIS;,none,41.88798769400046, -87.77284009599964,21
