category,agency,description,locationType,address,borough,lat,lng,frequency
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,MANHATTAN,40.811566996819884,-73.94272023562813,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk, ARDEN STREET,MANHATTAN,40.86194011975497,-73.92713495543542,3
human,3-1-1 Call Center,People Created Noise,Home,272 WEST 77 STREET,MANHATTAN,40.78278755557527,-73.9815806149476,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,322 EAST 116 STREET,MANHATTAN,40.79668762722253,-73.93705184870295,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,BROOKLYN,40.68322951461715,-73.90712474828433,3
human,3-1-1 Call Center,People Created Noise,Home,1864 TROUTMAN STREET,QUEENS,40.71106168727445,-73.91826783078447,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,609 SUTTER AVENUE,BROOKLYN,40.66919734323511,-73.8964524840768,13
human,New York City Police Department,Loud Talking,Park/Playground, 38 STREET,BROOKLYN,40.637976462781516,-73.98039193006078,5
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,148 HOYT STREET,BROOKLYN,40.68577512863213,-73.9883608563112,5
human,New York City Police Department,Loud Music/Party,House of Worship, WEST 23 STREET,MANHATTAN,40.74469471406942,-73.9970659875166,4
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,589 FORT WASHINGTON AVENUE,MANHATTAN,40.85465602459483,-73.93704036428274,15
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,716 9 AVENUE,MANHATTAN,40.76270804252969,-73.98950256353436,6
human,New York City Police Department,Loud Talking,Street/Sidewalk,215 MOUNT HOPE PLACE,BRONX,40.84830248020287,-73.90551714660197,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,817 CASTLETON AVENUE,STATEN ISLAND,40.63473648442826,-74.10957218330407,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,689 6 AVENUE,BROOKLYN,40.660655143628304,-73.99054225150822,4
human,3-1-1 Call Center,People Created Noise,Bar/Restaurant,3999 HYLAN BOULEVARD,STATEN ISLAND,40.54208055493552,-74.14621272594313,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,40-26 28 STREET,QUEENS,40.75225291765778,-73.93679787652677,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,189 WEST 10 STREET,MANHATTAN,40.734212497361966,-74.00329077299581,13
human,3-1-1 Call Center,People Created Noise,Home,32-15 31 AVENUE,QUEENS,40.76387639180453,-73.92246271595423,5
human,New York City Police Department,Loud Talking,Street/Sidewalk,382 WADSWORTH AVENUE,MANHATTAN,40.85668814238739,-73.92935305837368,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk, 105 STREET,QUEENS,40.68875957140712,-73.83926941114711,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,BROOKLYN,40.67797683876896,-73.91911956226446,3
human,New York City Police Department,Loud Talking,Park/Playground,,MANHATTAN,40.85926003122371,-73.93416924022979,12
human,New York City Police Department,Loud Talking,Park/Playground,,QUEENS,40.66462813655636,-73.84991771305361,3
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,1779 EASTBURN AVENUE,BRONX,40.846185863568984,-73.90836466969787,10
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,1817 PUTNAM AVENUE,QUEENS,40.7018456565922,-73.90511881520051,8
human,New York City Police Department,Loud Music/Party,Street/Sidewalk, EAST 114 STREET,MANHATTAN,40.794345521588,-73.93551192549795,5
human,New York City Police Department,Loud Music/Party,Street/Sidewalk, EAST 98 STREET,MANHATTAN,40.787480219073856,-73.95071807953795,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,2565 COLDEN AVENUE,BRONX,40.86399121071574,-73.85967031411968,16
human,New York City Police Department,Loud Music/Party,Park/Playground, EAST 7 STREET,MANHATTAN,40.72556247118773,-73.98237572409988,7
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,679 FLATBUSH AVENUE,BROOKLYN,40.65662476260952,-73.96009532459026,41
human,New York City Police Department,Loud Talking,Street/Sidewalk,53 WEST 105 STREET,MANHATTAN,40.798114917263995,-73.96226064035416,5
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant, 2 AVENUE,MANHATTAN,40.7514349567932,-73.97103587582953,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,765 EAST 183 STREET,BRONX,40.851408547926766,-73.88348135765057,5
human,New York City Police Department,Loud Music/Party,Store/Commercial,,MANHATTAN,40.80441983687725,-73.95536877183133,4
human,New York City Police Department,Loud Talking,Street/Sidewalk,214 BEACH 96 STREET,QUEENS,40.585499251285114,-73.81815750049864,4
human,New York City Police Department,Loud Talking,Street/Sidewalk,2976 MARION AVENUE,BRONX,40.86929876186837,-73.88372841365039,3
human,New York City Police Department,Loud Talking,Street/Sidewalk, DYCKMAN STREET,MANHATTAN,40.86586537236765,-73.92766574084868,6
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,,BROOKLYN,40.70110378324054,-73.9223842510617,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,599 WEST 190 STREET,MANHATTAN,40.854827281927584,-73.92943094675587,3
human,3-1-1 Call Center,People Created Noise,Bar/Restaurant,162 BLEECKER STREET,MANHATTAN,40.72860226543579,-74.00006494399899,3
human,New York City Police Department,Loud Talking,Street/Sidewalk,,BROOKLYN,40.717280828183625,-73.95832024813635,4
human,New York City Police Department,Loud Music/Party,Store/Commercial,1050 WYCKOFF AVENUE,QUEENS,40.69504519364207,-73.90311263480845,4
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,MANHATTAN,40.82144605015569,-73.95037859121894,10
human,3-1-1 Call Center,People Created Noise,Bar/Restaurant,,BROOKLYN,40.69970014888677,-73.94424449890958,3
human,New York City Police Department,Loud Talking,Club/Bar/Restaurant,302 BROOME STREET,MANHATTAN,40.71873459787113,-73.99221148140744,8
human,New York City Police Department,Loud Talking,Street/Sidewalk,,MANHATTAN,40.79236257545369,-73.9641743612929,3
human,New York City Police Department,Loud Music/Party,Club/Bar/Restaurant,508 9 AVENUE,MANHATTAN,40.7561292284094,-73.99429700430439,14
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,180 EAST 101 STREET,MANHATTAN,40.788650875878126,-73.94766931405103,14
human,3-1-1 Call Center,People Created Noise,Bar/Restaurant,355 WEST 16 STREET,MANHATTAN,40.74173312459783,-74.00308183921501,6
human,New York City Police Department,Loud Music/Party,House of Worship,,QUEENS,40.58774206277285,-73.80986687831003,5
human,New York City Police Department,Loud Music/Party,Street/Sidewalk,,BROOKLYN,40.708899709495455,-73.9547185546482,8
